đầu tư nước ngoài của vùng đông nam bộ theo ngành 1988-2005					
(tính tới ngày 15/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
I	Công nghiệp	2609	17469747308	7328648754	7936134416
	CN nhẹ 	1218	6431582944	2809393184	2356849926
	CN nặng 	1081	7623158143	3045765002	3651571185
	CN thực phẩm 	139	2011384979	922889897	1363386468
	Xây dựng 	171	1403621242	550600671	564326837
II	Nông, lâm nghiệp	421	2385065063	987628803	1027742047
	Nông-Lâm nghiệp 	386	2270264713	935188194	962202344
	Thủy sản 	35	114800350	52440609	65539703
III	Dịch vụ	585	7346046655	3653813165	3463903214
	GTVT-Bưu điện 	88	1469011295	1092348471	398579941
	Khách sạn-Du lịch 	44	1106133720	481234326	868679613
	Tài chính-Ngân hàng 	33	478300000	459845000	388639101
	Văn hóa-Ytế-Giáo dục 	127	424769672	195650215	180816308
	XD Khu đô thị mới 	1	120000000	50000000	0
	XD Văn phòng-Căn hộ 	66	2769397817	977072044	1165512861
	XD hạ tầng KCX-KCN 	7	397085162	167035288	222686972
	Dịch vụ 	219	581348989	230627821	238988418
Tổng số		3615	27200859026	11970090722	12427779677
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư nước ngoài của vùng đông nam bộ theo htđt 1988-2005					
(tính tới ngày 15/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
Hình thức đầu tư		Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
Hợp đồng hợp tác kinh doanh		51	1040946762	988647499	249751453
BOT		6	1370125000	411385000	711274892
Liên doanh		618	7529654379	3149098207	4285433128
100% vốn nước ngoài		2940	17260132885	7420960016	7181320204
Tổng số		3615	27200859026	11970090722	12427779677
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư nước ngoài của vùng đông nam bộ theo địa phương 1988-2005					
(tính tới ngày 15/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Địa phương	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
1	Bình Phước 	15	39720000	24713640	13784220
2	Tây Ninh 	93	353014785	251910928	181932650
3	Bà Rịa-Vũng Tàu 	118	2176394896	817628111	1207098084
4	Bình Dương 	1000	4695711327	1962037540	1795023149
5	Đồng Nai 	659	8148079129	3248492209	3405629682
6	TP Hồ Chí Minh 	1730	11787938889	5665308294	5824311892
Tổng số		3615	27200859026	11970090722	12427779677
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư nước ngoài của vùng đông nam bộ theo nước 1988-2005					
(tính tới ngày 15/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Nước, vùng lãnh thổ	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
1	Đài Loan 	1095	6003815112	2603752073	1969897849
2	Singapore 	269	3596300185	1640318887	2309033332
3	Hàn Quốc 	655	2667678518	1110249248	1017009779
4	Hồng Kông 	203	2555561772	1099474434	1381968162
5	Nhật Bản 	289	2501557947	1081023556	1309956241
6	Pháp 	95	1783028690	1140872469	818547360
7	BritishVirginIslands 	189	1749104356	672589501	874640751
8	Hà Lan 	41	1126193620	466811345	760222797
9	Malaysia 	120	915321036	363746847	316260990
10	Thái Lan 	75	805382706	253504412	460930169
11	Hoa Kỳ 	161	782522198	324544390	237117654
12	Vương quốc Anh 	38	501478613	245994773	152690830
13	Cayman Islands 	8	329976053	111594000	113972877
14	British West Indies 	3	305000000	83000000	69169763
15	Australia 	66	300601582	111829501	114319178
16	CHLB Đức 	35	267237693	106160096	119101481
17	Trung Quốc 	59	175130906	106251519	43471489
18	Thụy Sỹ 	15	141421600	103825552	108049746
19	Philippines 	14	87773899	60257446	22884240
20	Samoa 	11	71400000	25440000	2800000
21	Liên bang Nga 	15	64641389	39158026	38841145
22	Mauritius 	9	62553600	30375000	8100000
23	Na Uy 	11	42226918	23162001	15319258
24	Indonesia 	10	42200000	26140000	18322438
25	Saint Kitts & Nevis 	2	39685000	12625000	11500000
26	Liechtenstein 	1	34600000	10400000	34583528
27	Canada 	23	29237727	18540428	13742584
28	New Zealand 	8	24904500	8544500	2240000
29	Italia 	7	21010000	8545746	5267561
30	Brunei 	7	19100000	7310000	1000000
31	Đan Mạch 	13	17423162	10271671	9561501
32	Ukraina 	2	16861000	9989000	12735881
33	Isle of Man 	1	15000000	5200000	1000000
34	Panama 	5	13450000	5040000	0
35	Luxembourg 	5	11050000	3400000	9328118
36	Bỉ 	14	10177340	4234292	5739192
37	Belize 	3	10000000	6860000	979000
38	Bermuda 	1	10000000	5000000	30500000
39	Dominica 	2	8900000	2700000	0
40	Saint Vincent 	1	8000000	1450000	1050000
41	Grand Cayman 	1	5000000	3000000	0
42	Tây Ban Nha 	3	4354865	4214865	60000
43	Israel 	2	4350000	1410000	758141
44	Aó 	3	3140000	942000	840000
45	Channel Islands 	3	2700000	1200000	1100000
46	Lào 	1	2500000	2500000	0
47	Guatemala 	1	1866185	894000	0
48	Ma Cao 	2	1700000	1100000	800000
49	Thụy Điển 	3	1487165	1249165	1009076
50	Thổ Nhĩ Kỳ 	2	1200000	360000	157566
51	Cộng hòa Síp 	1	1000000	300000	150000
52	Turks&Caicos Islands 	1	1000000	700000	700000
53	ấn Độ 	4	993710	445000	350000
54	Guinea Bissau 	1	709979	1009979	0
55	Campuchia 	2	600000	190000	0
56	Cộng hòa Séc 	1	400000	180000	0
57	Srilanca 	1	200000	60000	0
58	CHDCND Triều Tiên 	1	100000	100000	0
59	Phần Lan 	1	50000	50000	0
Tổng số		3615	27200859026	11970090722	12427779677
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư
