đầu tư trực tiếp nước ngoài theo ngành 1988-2005					
(tính tới ngày 22/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
I	Công nghiệp và xây dựng	3798	28996154868	12601111219	17717309149
	CN dầu khí 	28	1913191815	1406191815	4587290313
	CN nhẹ 	1569	7996396563	3580697658	3015658859
	CN nặng 	1645	12088157968	4837450387	6152749854
	CN thực phẩm 	253	3027759603	1351601022	1844196879
	Xây dựng 	303	3970648919	1425170337	2117413244
II	Nông-Lâm-Ngư nghiệp	747	3610051804	1569811509	1758118839
	Nông-Lâm nghiệp 	638	3308630624	1436806128	1606101464
	Thủy sản 	109	301421180	133005381	152017375
III	Dịch vụ	1072	15548764434	7385034080	6294099101
	GTVT-Bưu điện 	156	2905563979	2310407639	698133046
	Khách sạn-Du lịch 	159	2806399035	1164868545	2114922862
	Tài chính-Ngân hàng 	54	722550000	699295000	616930077
	Văn hóa-Ytế-Giáo dục 	195	703563416	323071691	269258207
	XD Khu đô thị mới 	4	2551674000	700683000	51294598
	XD Văn phòng-Căn hộ 	106	3777102929	1323855808	1676337799
	XD hạ tầng KCX-KCN 	20	986099546	379519597	521371777
	Dịch vụ khác	378	1095811529	483332800	345850735
Tổng số		5617	48154971106	21555956808	25769527089
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư trực tiếp nước ngoài theo htđt 1988-2005					
(tính tới ngày 22/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
Hình thức đầu tư		Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
Công ty quản lý vốn		1	14448000	14448000	0
Công ty cổ phần		6	168910000	65518203	124704385
BOT		6	1370125000	411385000	724824892
Hợp đồng hợp tác kinh doanh		181	4187152793	3604162902	5068909496
100% vốn nước ngoài		1284	18882192158	7257748996	10317088845
Liên doanh		4139	23532143155	10202693707	9533999471
Tổng số		5617	48154971106	21555956808	25769527089
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư trực tiếp nước ngoài theo nước 1988-2005					
(tính tới ngày 22/8/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Nước, vùng lãnh thổ	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
1	Đài Loan 	1363	7642860711	3271165201	2839026869
2	Singapore 	366	7443198540	2798682861	3419168442
3	Nhật Bản 	549	5938310674	2692825185	4131110861
4	Hàn Quốc 	959	4879194568	2066069119	2425190831
5	Hồng Kông 	345	3642805782	1551589940	1922644022
6	BritishVirginIslands 	237	2553061581	970595605	1240979764
7	Pháp 	151	2146375994	1331350204	1166079323
8	Hà Lan 	57	1885734710	1174305274	1776782057
9	Malaysia 	171	1453384072	673142695	826714889
10	Thái Lan 	123	1435694566	480867615	707972109
11	Hoa Kỳ 	239	1392244949	715625901	721235620
