										
Ước thực hiện nhập khẩu tháng 2 và 2 tháng năm 2005										
										
Stt		Đơn vị	K.H	TH	Ư.TH	Ư.TH	TH	So sánh (%)		
		tính	2005	T1/2005	T2/2005	2T/2005	2T/2004	T2-2005/ T1-2005	2T-2005/ 2T-2004	2T-2005/ KH2005
	Tổng kim ngạch nhập khẩu	Tr. USD	36500	2553	2350	4903	3949	92.04857031	124.1580147	13.43287671
	Trong đó: - DN ĐTNN	"	12800	907	830	1737	1364	91.51047409	127.3460411	13.5703125
										
	Mặt hàng chủ yếu									
1	Ôtô nguyên chiếc các loại	Chiếc	25000	1261	1000	2261	1904	79.30214116	118.75	9.044
2	Linh kiện và phụ tùng ô-tô	Tr. USD	700	51	45	102	63	88.23529412	161.9047619	14.57142857
3	Xe máy nguyên chiếc	Chiếc		4854	3000	7854	148	61.80469716	5306.756757	
4	Linh kiện xe máy CKD,IKD	Tr. USD	420	45	25	70	45	55.55555556	155.5555556	16.66666667
5	Xăng dầu các loại	Ng. tấn	12300	613	850	1463	1981	138.6623165	73.85159011	11.89430894
6	Phân bón các loại	"		133	150	283	580	112.7819549	48.79310345	
	Trong đó: Phân urê	"	1700	34	50	84	314	147.0588235	26.75159236	4.941176471
7	Thép các loại	"	5700	348	320	668	692	91.95402299	96.53179191	11.71929825
	Trong đó: Phôi thép	"	2500	86	80	166	245	93.02325581	67.75510204	6.64
8	Giấy các loại	"	500	36	25	61	55	69.44444444	110.9090909	12.2
9	Bông các loại	"	190	11.6	10	21.6	12	86.20689655	180	11.36842105
10	Sợi các loại	"	260	11.7	13	24.7	32	111.1111111	77.1875	9.5
11	Máy móc thiết bị, phụ tùng	Tr. USD	6000	488	400	888	585	81.96721311	151.7948718	14.8
12	Tân dược	"	450	26.5	25	51.5	55	94.33962264	93.63636364	11.44444444
13	Hoá chất các loại	"	680	67	65	132	87	97.01492537	151.7241379	19.41176471
14	Chất dẻo nguyên liệu	Ng. tấn	1250	71	65	136	155	91.54929577	87.74193548	10.88
15	Vải	Tr. USD	2200	109	100	209	220	91.74311927	95	9.5
16	Nguyên phụ liệu dệt may da	Tr. USD	2500	133	120	253	265	90.22556391	95.47169811	10.12
17	Vi tính, điện tử và linh kiện	"	1700	135	120	255	162	88.88888889	157.4074074	15
18	Máy vi tính và linh kiện	"	900	50		50	104	0	48.07692308	5.555555556
