đầu tư hoa kỳ theo ngành 1988-2005					
(tính tới ngày 31/12/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
I	Công nghiệp	179	1011821372	513306174	513306174
	CN dầu khí	6	123800000	123800000	234174963
	CN nhẹ	46	99560682	45894822	19207668
	CN nặng	100	631721578	289557361	234353540
	CN thực phẩm	17	78120000	28745420	11718814
	Xây dựng	10	78619112	25308571	25551053
II	Nông, lâm nghiệp	28	148126692	55820606	57252180
	Nông-Lâm nghiệp	24	136011876	51227606	52836180
	Thủy sản	4	12114816	4593000	4416000
III	Dịch vụ	60	397536425	216010383	137193040
	GTVT-Bưu điện	10	47501540	25092770	46806901
	Khách sạn-Du lịch	5	120100000	44880000	4100000
	Tài chính-Ngân hàng	7	90300000	80300000	21500000
	Văn hóa-Ytế-Giáo dục	15	87744715	40008221	34988757
	XD Văn phòng-Căn hộ	1	16000000	7800000	7800000
	XD hạ tầng KCX-KCN	1	5000000	5000000	3000000
	Dịch vụ khác	21	30890170	12929392	18997382
Tổng số		267	1557484489	785137163	707751394
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư hoa kỳ theo htđt 1988-2005					
(tính tới ngày 31/12/2005 - chỉ tính các dự án còn hiệu lực)					
					
Hình thức đầu tư		Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
Công ty Cổ phần		1	35000000	11213493	29840136
HĐHTKD		15	138754956	137754956	237173651
Liên doanh		45	325631504	191029732	226893821
100% vốn nước ngoài		206	1058098029	445138982	225543650
Tổng số		267	1557484489	785137163	719451258
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư hoa kỳ theo địa phương 1988-2005					
(tính tới ngày 31/12/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Địa phương	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
1	TP Hồ Chí Minh	105	451536135	188400692	57054191
2	Đồng Nai	25	263578985	103868953	94691978
3	Bình Dương	40	179205400	77024330	66215803
4	Hà Nội	25	129130480	71663667	55254107
5	Dầu khí	6	123800000	123800000	234174963
6	Hải Dương	2	103200000	72270000	147538811
7	Đà Nẵng	4	49200000	14767000	1000000
8	Bà Rịa-Vũng Tàu	6	32846218	11207677	15531318
9	Quảng Nam	2	26283000	18383000	0
10	Phú Yên	5	26240000	8120000	3320000
11	Hà Tây	3	25800000	12000000	21660002
12	Quảng Ninh	2	20500000	13300000	2000000
13	Bình Thuận	2	18000000	6000000	0
14	Thừa Thiên-Huế	6	17503190	9685190	41000
15	Tây Ninh	6	13100000	4767000	1500000
16	Bình Phước	3	11500000	8067000	4500000
17	Bạc Liêu	1	10464816	4116000	4116000
18	Hải Phòng	5	10165000	5715000	1595500
19	Quảng Trị	2	7152000	6422100	1288840
20	Cần Thơ	2	6451000	5750000	1340741
21	Đắc Lắc	1	4563530	1350000	4563530
22	Lâm Đồng	2	4400000	1600000	1484474
23	Vĩnh Phúc	1	4300000	4300000	0
24	Nghệ An	1	3500000	3500000	0
25	Vĩnh Long	2	3490000	1650000	0
26	Hưng Yên	1	2700000	2700000	0
27	Kiên Giang	1	2000000	2000000	0
28	Long An	1	1500000	800000	0
29	Yên Bái	1	1500000	500000	0
30	Khánh Hòa	1	1400000	300000	300000
31	Hòa Bình	1	1159235	509554	0
32	Bắc Ninh	1	1035500	320000	0
33	Thái Bình	1	280000	280000	280000
Tổng số		267	1557484489		719451258
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư
