đầu tư ra nước ngoài phân theo ngành					
(tính tới ngày 31/7/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Chuyên ngành	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
I	Công nghiệp	56	193180435	172223059	7217449
	CN dầu khí 	5	130200000	130200000	0
	CN nhẹ 	12	10510959	8918659	4129137
	CN nặng 	17	10196720	9338120	0
	CN thực phẩm 	9	3902280	3902280	0
	Xây dựng 	13	38370476	19864000	3088312
II	Nông nghiệp	23	77141188	69587819	2160160
	Nông-Lâm nghiệp 	20	68991188	61437819	160160
	Thủy sản 	3	8150000	8150000	2000000
III	Dịch vụ	53	30123076	24881347	3448100
	GTVT-Bưu điện 	11	4674431	4674431	1750000
	Khách sạn-Du lịch 	5	8831178	5701094	320000
	Văn hóa-Ytế-Giáo dục 	4	1606811	1506811	900000
	XD Văn phòng-Căn hộ 	3	1890000	1890000	0
	Dịch vụ 	30	13120656	11109011	478100
Tổng số		132	300444699	266692225	12825709
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư ra nước ngoài phân theo nước					
(tính tới ngày 31/7/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Nước tiếp nhận	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
1	Irắc 	1	100000000	100000000	0
2	Lào 	41	84584486	72207544	4288472
3	Liên bang Nga 	11	38347407	22171331	2010000
4	Angiêri 	1	14000000	14000000	0
5	Campuchia 	8	13293081	10386170	989000
6	Indonesia 	2	9400000	9400000	0
7	Malaysia 	2	7750000	7750000	300000
8	Hoa Kỳ 	15	6717500	6437500	100000
9	CHLB Đức 	4	4788100	3551455	0
10	Singapore 	11	4520507	4520507	1450000
11	Tajikistan 	2	3465272	3465272	2222000
12	Nhật Bản 	4	2013380	1333380	320000
13	Ukraina 	3	1900000	1900000	0
14	Hàn Quốc 	2	1114000	1114000	0
15	Cộng hòa Séc 	2	1068900	156000	0
16	Cô Oét 	1	999700	999700	0
17	Ucraina 	1	957286	957286	369934
18	Ba Lan 	1	900000	900000	0
19	Uzbekistan 	2	850000	850000	200000
20	Australia 	3	809600	809600	378100
21	Braxin 	1	800000	800000	0
22	Hồng Kông 	3	588000	373000	198203
23	Đài Loan 	2	468000	1530000	0
24	Luxemburg 	1	350000	350000	0
25	Thái Lan 	2	305200	305200	0
26	Bungaria 	1	152280	152280	0
27	Bỉ 	1	152000	152000	0
28	ấn độ 	1	150000	120000	0
29	Anh 	2	0	0	0
30	Pháp 	1	0	0	0
Tổng số		132	300444699	266692225	12825709
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư					
					
đầu tư ra nước ngoài theo năm					
(tính tới ngày 31/7/2005 - chỉ tính các dự án còn hiệu lực)					
					
STT	Năm	Số dự án	TVĐT	Vốn pháp định	Đầu tư thực hiện
1	1989	1	563380	563380	0
2	1990	1	0	0	0
3	1991	3	4000000	4000000	2000000
4	1992	3	5282051	5282051	1300000
5	1993	5	690831	690831	0
6	1994	3	1306811	706811	0
7	1998	2	1850000	1850000	1500000
8	1999	10	12337793	6773182	0
9	2000	15	6865370	6682370	1210160
10	2001	13	7696452	7696452	2522000
11	2002	15	151826576	134528200	1517203
12	2003	25	27309485	26214012	1956412
13	2004	17	11096114	9283214	819934
14	7T / 2005	19	69619836	62421722	0
Tổng số		132	300444699	266692225	12825709
Nguồn: Cục Đầu tư nước ngoài - Bộ Kế hoạch và Đầu tư
